code,name,r,g,b,白,黒,赤,黄,青,source
69-60H,,112,152,169,43,11,0,8,38,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=69&v=60&c=H
69-60L,,89,160,188,34,7,0,9,50,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=69&v=60&c=L
69-70F,,150,182,192,58,6,0,8,28,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=69&v=70&c=F
69-70L,,106,183,210,41,3,0,10,46,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=69&v=70&c=L
69-70P,,83,189,222,31,2,0,11,56,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=69&v=70&c=P
69-80B,,195,203,203,76,4,0,7,13,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=69&v=80&c=B
69-80D,,189,208,213,74,2,0,6,18,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=69&v=80&c=D
69-80H,,163,206,220,63,2,0,8,27,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=69&v=80&c=H
72-30H,,21,72,95,8,39,0,3,50,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=72&v=30&c=H
72-40T,,0,107,159,0,14,0,0,86,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=72&v=40&c=T
72-45T,,0,119,171,0,11,0,0,89,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=72&v=45&c=T
72-50L,,68,128,160,26,14,0,7,53,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=72&v=50&c=L
72-50P,,36,129,171,14,11,0,6,69,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=72&v=50&c=P
72-60D,,135,149,158,53,14,0,5,28,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=72&v=60&c=D
72-60H,,118,152,171,46,11,0,7,36,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=72&v=60&c=H
72-70D,,162,178,186,63,7,0,6,24,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=72&v=70&c=D
72-70L,,124,180,208,48,3,0,8,41,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=72&v=70&c=L
